"filename", "language", "Markdown", "JSON", "JavaScript", "YAML", "Ignore", "TypeScript", "XML", "TypeScript JSX", "JSON with Comments", "PostCSS", "Groovy", "Docker", "HTML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\loome\loome-doc\api-examples.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 50
"e:\Projects\Nextjs-projects\icstudio\loome\loome-doc\index.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"e:\Projects\Nextjs-projects\icstudio\loome\loome-doc\markdown-examples.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 86
"e:\Projects\Nextjs-projects\icstudio\loome\loome-doc\package.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\Projects\Nextjs-projects\icstudio\loome\loome-doc\pnpm-lock.yaml", "YAML", 0, 0, 0, 1222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 340, 1562
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\README.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\eslint.config.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\pnpm-lock.yaml", "YAML", 0, 0, 0, 1572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 448, 2020
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\src\components\instrutions\i1.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 34
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\src\components\instrutions\i1.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 5, 105
"e:\Projects\Nextjs-projects\icstudio\snakeball-react-main\src\components\instrutions\i2.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 26
