"filename", "language", "JSON", "JavaScript", "TypeScript", "YAML", "Docker", "Groovy", "Ignore", "JSON with Comments", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 12, 117
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\config\admin-menu.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\data\introduce.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\data\navigation.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\hooks\use-media-query.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\hooks\use-sidebar-menu.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\mongo\mongo.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 66
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\mongo\mongodb.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 30
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\mongo\schemas\user.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 102
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\redis\redis.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\redis\use-cache.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 26
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\db\redis\use-publish.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 28
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\services\sms.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 5, 36
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\middleware.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 36
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\types\next-auth.d.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 29
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\utils\auth.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 37
"e:\Projects\Nextjs-projects\icstudio\icstudio\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 5860, 16, 819, 4663, 20, 92, 2, 27, 23, 4924, 117, 5, 172, 1729, 18469
